year;month;day;hour;MN;Hs;T;wind direction
2016;1;3;11;0;3,1;13;113
2016;1;3;12;0;3,2;13;111
2016;1;3;13;0;3,1;13;107
2016;1;3;14;0;3,0;13;109
2016;1;3;15;0;2,8;13;112
2016;1;3;16;0;2,6;13;117
2016;1;3;17;0;2,4;13;123
2016;1;3;18;0;2,2;13;137
2016;1;3;19;0;2,1;13;130
2016;1;3;20;0;2,0;12;114
2016;1;3;21;0;1,9;12;101
2016;1;3;22;0;2,0;12;98
2016;1;3;23;0;2,2;13;102
2016;1;4;0;0;2,4;16;99
2016;1;4;1;0;2,5;16;100
2016;1;4;2;0;2,6;15;101
2016;1;4;3;0;2,6;15;109
2016;1;4;4;0;2,6;15;118
2016;1;4;5;0;2,6;15;120
2016;1;4;6;0;2,5;15;102
2016;1;4;7;0;2,5;15;100
2016;1;4;8;0;2,5;15;99
2016;1;4;9;0;2,6;15;98
2016;1;4;10;0;2,6;15;100
2016;1;4;11;0;2,7;15;98
2016;1;4;12;0;2,7;15;90
2016;1;4;13;0;2,7;14;89
2016;1;4;14;0;2,7;14;87
2016;1;4;15;0;2,7;14;87
2016;1;4;16;0;2,6;14;86
2016;1;4;17;0;2,5;14;87
2016;1;4;18;0;2,5;14;85
2016;1;4;19;0;2,5;14;86
2016;1;4;20;0;2,4;14;87
2016;1;4;21;0;2,4;14;84
2016;1;4;22;0;2,5;14;86
2016;1;4;23;0;2,5;13;85
2016;1;5;0;0;2,5;13;81
2016;1;5;1;0;2,6;13;80
2016;1;5;2;0;2,8;7;78
2016;1;5;3;0;2,9;7;76
2016;1;5;4;0;3,0;7;74
2016;1;5;5;0;3,0;7;70
2016;1;5;6;0;3,0;7;64
2016;1;5;7;0;3,0;7;61
2016;1;5;8;0;3,1;7;59
2016;1;5;9;0;3,1;7;57
2016;1;5;10;0;3,0;7;60
2016;1;5;11;0;2,9;7;62
2016;1;5;12;0;2,8;12;61
2016;1;5;13;0;2,7;12;55
2016;1;5;14;0;2,6;13;51
2016;1;5;15;0;2,5;13;47
2016;1;5;16;0;2,5;13;45
2016;1;5;17;0;2,5;13;39
2016;1;5;18;0;2,4;13;30
2016;1;5;19;0;2,4;13;14
2016;1;5;20;0;2,3;13;10
2016;1;5;21;0;2,3;13;17
2016;1;5;22;0;2,3;12;7
2016;1;5;23;0;2,3;12;17
2016;1;6;0;0;2,3;13;354
2016;1;6;1;0;2,2;12;3
2016;1;6;2;0;2,2;12;30
2016;1;6;3;0;2,1;12;60
2016;1;6;4;0;2,1;12;74
2016;1;6;5;0;2,0;12;107
2016;1;6;6;0;2,0;11;166
2016;1;6;7;0;1,9;11;187
2016;1;6;8;0;1,9;11;141
2016;1;6;9;0;1,8;11;152
2016;1;6;10;0;1,8;11;146
2016;1;6;11;0;1,7;11;144
2016;1;6;12;0;1,6;11;132
2016;1;6;13;0;1,6;10;138
2016;1;6;14;0;1,7;10;146
2016;1;6;15;0;1,7;10;147
2016;1;6;16;0;1,8;10;142
2016;1;6;17;0;1,8;10;136
2016;1;6;18;0;1,8;10;137
2016;1;6;19;0;1,8;10;138
2016;1;6;20;0;1,8;10;136
2016;1;6;21;0;1,7;10;130
2016;1;6;22;0;1,8;5;126
2016;1;6;23;0;1,9;5;126
2016;1;7;0;0;2,1;5;126
2016;1;7;1;0;2,2;6;130
2016;1;7;2;0;2,3;7;136
2016;1;7;3;0;2,2;7;148
2016;1;7;4;0;1,9;7;271
2016;1;7;5;0;1,7;7;309
2016;1;7;6;0;1,8;11;278
2016;1;7;7;0;2,0;5;271
2016;1;7;8;0;2,2;5;278
2016;1;7;9;0;2,1;6;272
2016;1;7;10;0;2,0;6;245
2016;1;7;11;0;2,0;10;254
2016;1;7;12;0;2,1;10;270
2016;1;7;13;0;2,3;10;271
2016;1;7;14;0;2,5;10;263
2016;1;7;15;0;2,6;11;258
2016;1;7;16;0;2,7;11;252
2016;1;7;17;0;2,8;11;262
2016;1;7;18;0;3,0;12;269
2016;1;7;19;0;3,1;13;261
2016;1;7;20;0;3,1;13;242
2016;1;7;21;0;3,0;13;222
2016;1;7;22;0;3,0;13;193
2016;1;7;23;0;3,0;13;185
2016;1;8;0;0;2,9;13;184
2016;1;8;1;0;2,9;13;176
2016;1;8;2;0;2,8;13;171
2016;1;8;3;0;2,8;13;163
2016;1;8;4;0;2,7;13;159
2016;1;8;5;0;2,7;13;163
2016;1;8;6;0;2,6;13;159
2016;1;8;7;0;2,6;13;166
2016;1;8;8;0;2,6;13;177
2016;1;8;9;0;2,6;13;180
2016;1;8;10;0;2,6;13;177
2016;1;8;11;0;2,7;13;190
2016;1;8;12;0;2,8;13;164
2016;1;8;13;0;2,8;14;166
2016;1;8;14;0;2,9;14;180
2016;1;8;15;0;3,0;14;180
2016;1;8;16;0;3,1;15;187
2016;1;8;17;0;3,2;15;189
2016;1;8;18;0;3,2;15;191
2016;1;8;19;0;3,2;15;191
2016;1;8;20;0;3,2;15;187
2016;1;8;21;0;3,2;15;183
2016;1;8;22;0;3,2;15;177
2016;1;8;23;0;3,2;15;166
2016;1;9;0;0;3,2;15;166
2016;1;9;1;0;3,2;15;160
2016;1;9;2;0;3,2;15;153
2016;1;9;3;0;3,1;15;136
2016;1;9;4;0;3,1;15;122
2016;1;9;5;0;3,1;15;115
2016;1;9;6;0;3,0;15;112
2016;1;9;7;0;3,0;14;118
2016;1;9;8;0;2,9;14;115
2016;1;9;9;0;2,9;14;104
2016;1;9;10;0;2,9;14;106
2016;1;9;11;0;2,9;14;106
2016;1;9;12;0;2,9;14;114
2016;1;9;13;0;2,9;14;130
2016;1;9;14;0;2,8;14;102
2016;1;9;15;0;2,8;14;110
2016;1;9;16;0;2,8;14;109
2016;1;9;17;0;2,7;14;101
2016;1;9;18;0;2,7;14;95
2016;1;9;19;0;2,6;14;96
2016;1;9;20;0;2,5;13;82
2016;1;9;21;0;2,4;13;90
2016;1;9;22;0;2,3;13;51
2016;1;9;23;0;2,3;13;4
2016;1;10;0;0;2,2;13;322
2016;1;10;1;0;2,2;13;301
2016;1;10;2;0;2,1;13;303
2016;1;10;3;0;2,1;13;299
2016;1;10;4;0;2,1;12;300
2016;1;10;5;0;2,1;12;297
2016;1;10;6;0;2,1;12;295
2016;1;10;7;0;2,2;12;295
2016;1;10;8;0;2,3;12;288
2016;1;10;9;0;2,3;12;283
2016;1;10;10;0;2,4;12;282
2016;1;10;11;0;2,4;12;272
2016;1;10;12;0;2,5;12;268
2016;1;10;13;0;2,7;13;260
2016;1;10;14;0;2,9;13;257
2016;1;10;15;0;3,2;13;258
2016;1;10;16;0;3,3;15;257
2016;1;10;17;0;3,4;15;251
2016;1;10;18;0;3,5;15;242
2016;1;10;19;0;3,4;15;238
2016;1;10;20;0;3,4;15;239
2016;1;10;21;0;3,4;15;239
2016;1;10;22;0;3,3;15;241
2016;1;10;23;0;3,1;15;239
2016;1;11;0;0;2,9;15;233
2016;1;11;1;0;2,8;16;242
2016;1;11;2;0;2,7;16;274
2016;1;11;3;0;2,7;16;334
2016;1;11;4;0;2,7;16;349
2016;1;11;5;0;2,7;16;346
2016;1;11;6;0;2,7;16;322
2016;1;11;7;0;2,7;16;324
2016;1;11;8;0;2,8;16;345
2016;1;11;9;0;2,8;12;10
2016;1;11;10;0;3,0;11;10
2016;1;11;11;0;3,5;11;3
2016;1;11;12;0;3,9;11;353
2016;1;11;13;0;4,3;11;348
2016;1;11;14;0;4,5;11;344
2016;1;11;15;0;4,8;11;340
2016;1;11;16;0;5,0;11;338
2016;1;11;17;0;5,3;11;339
2016;1;11;18;0;5,6;11;339
2016;1;11;19;0;5,9;11;337
2016;1;11;20;0;6,1;11;332
2016;1;11;21;0;6,2;11;329
2016;1;11;22;0;6,3;11;329
2016;1;11;23;0;6,5;11;328
2016;1;12;0;0;6,6;11;334
2016;1;12;1;0;6,8;12;339
2016;1;12;2;0;6,9;12;338
2016;1;12;3;0;6,9;12;334
2016;1;12;4;0;6,7;12;333
2016;1;12;5;0;6,6;12;336
2016;1;12;6;0;6,3;11;343
2016;1;12;7;0;6,1;11;344
2016;1;12;8;0;5,9;11;342
2016;1;12;9;0;5,6;11;338
2016;1;12;10;0;5,3;11;334
2016;1;12;11;0;5,1;11;332
2016;1;12;12;0;4,6;10;331
2016;1;12;13;0;4,3;10;326
2016;1;12;14;0;4,1;10;326
2016;1;12;15;0;3,9;10;326
2016;1;12;16;0;3,7;10;326
2016;1;12;17;0;3,5;9;323
2016;1;12;18;0;3,3;9;316
2016;1;12;19;0;3,1;9;317
2016;1;12;20;0;2,9;9;317
2016;1;12;21;0;2,8;9;316
2016;1;12;22;0;2,6;9;311
2016;1;12;23;0;2,5;8;308
2016;1;13;0;0;2,3;9;294
2016;1;13;1;0;2,2;9;292
2016;1;13;2;0;2,1;9;281
2016;1;13;3;0;2,0;10;268
2016;1;13;4;0;1,9;10;241
2016;1;13;5;0;1,8;10;217
2016;1;13;6;0;1,7;10;200
2016;1;13;7;0;1,6;10;180
2016;1;13;8;0;1,6;10;172
2016;1;13;9;0;1,5;10;175
2016;1;13;10;0;1,5;10;173
2016;1;13;11;0;1,5;10;177
2016;1;13;12;0;1,5;9;184
2016;1;13;13;0;1,4;9;193
2016;1;13;14;0;1,4;9;201
2016;1;13;15;0;1,3;9;210
2016;1;13;16;0;1,3;9;217
2016;1;13;17;0;1,2;9;226
2016;1;13;18;0;1,2;9;238
2016;1;13;19;0;1,1;9;253
2016;1;13;20;0;1,1;9;282
2016;1;13;21;0;1,1;9;322
2016;1;13;22;0;1,1;8;3
2016;1;13;23;0;1,1;8;30
2016;1;14;0;0;1,3;8;39
2016;1;14;1;0;1,7;7;33
2016;1;14;2;0;2,0;7;21
2016;1;14;3;0;2,2;7;20
2016;1;14;4;0;2,2;7;20
2016;1;14;5;0;2,1;7;18
2016;1;14;6;0;2,0;7;13
2016;1;14;7;0;1,9;7;357
2016;1;14;8;0;1,8;6;354
2016;1;14;9;0;1,8;9;350
2016;1;14;10;0;1,7;9;335
2016;1;14;11;0;1,6;9;324
2016;1;14;12;0;1,6;9;311
2016;1;14;13;0;1,6;9;304
2016;1;14;14;0;1,5;9;316
2016;1;14;15;0;1,5;9;330
2016;1;14;16;0;1,5;9;319
2016;1;14;17;0;1,6;9;312
2016;1;14;18;0;1,8;9;327
2016;1;14;19;0;2,0;6;329
2016;1;14;20;0;2,3;7;321
2016;1;14;21;0;2,5;7;315
2016;1;14;22;0;2,8;8;312
2016;1;14;23;0;3,1;8;311
2016;1;15;0;0;3,5;8;321
2016;1;15;1;0;3,5;9;327
2016;1;15;2;0;3,5;9;332
2016;1;15;3;0;3,4;9;334
2016;1;15;4;0;3,4;9;327
2016;1;15;5;0;3,3;9;322
2016;1;15;6;0;3,1;9;314
2016;1;15;7;0;3,0;9;309
2016;1;15;8;0;3,1;9;306
2016;1;15;9;0;3,3;9;303
2016;1;15;10;0;3,7;9;300
2016;1;15;11;0;4,0;9;313
2016;1;15;12;0;4,2;10;324
2016;1;15;13;0;3,9;10;335
2016;1;15;14;0;3,7;10;337
2016;1;15;15;0;3,4;10;334
2016;1;15;16;0;3,2;10;332
2016;1;15;17;0;3,0;10;333
2016;1;15;18;0;2,8;10;334
2016;1;15;19;0;2,6;10;338
2016;1;15;20;0;2,4;10;347
2016;1;15;21;0;2,3;10;3
2016;1;15;22;0;2,1;10;3
2016;1;15;23;0;2,0;11;25
2016;1;16;0;0;1,9;10;307
2016;1;16;1;0;1,8;10;307
2016;1;16;2;0;1,7;10;297
2016;1;16;3;0;1,6;10;225
2016;1;16;4;0;1,5;9;195
2016;1;16;5;0;1,4;9;202
2016;1;16;6;0;1,3;9;211
2016;1;16;7;0;1,2;9;210
2016;1;16;8;0;1,2;9;196
2016;1;16;9;0;1,2;8;188
2016;1;16;10;0;1,2;8;196
2016;1;16;11;0;1,3;8;216
2016;1;16;12;0;1,4;8;230
2016;1;16;13;0;1,4;8;247
2016;1;16;14;0;1,5;7;256
2016;1;16;15;0;1,6;7;257
2016;1;16;16;0;1,7;7;257
2016;1;16;17;0;1,8;7;263
2016;1;16;18;0;1,8;7;279
2016;1;16;19;0;1,7;7;279
2016;1;16;20;0;1,7;8;294
2016;1;16;21;0;1,6;8;307
2016;1;16;22;0;1,6;8;314
2016;1;16;23;0;1,5;8;305
2016;1;17;0;0;1,5;9;256
2016;1;17;1;0;1,5;9;245
2016;1;17;2;0;1,5;9;233
2016;1;17;3;0;1,5;10;210
2016;1;17;4;0;1,5;10;184
2016;1;17;5;0;1,5;10;164
2016;1;17;6;0;1,6;10;149
2016;1;17;7;0;1,6;10;143
2016;1;17;8;0;1,6;11;150
2016;1;17;9;0;1,6;11;144
2016;1;17;10;0;1,6;11;144
2016;1;17;11;0;1,7;11;144
2016;1;17;12;0;1,7;11;142
2016;1;17;13;0;1,8;11;139
2016;1;17;14;0;1,8;15;134
2016;1;17;15;0;1,9;15;131
2016;1;17;16;0;1,9;15;131
2016;1;17;17;0;1,9;15;132
2016;1;17;18;0;1,8;15;131
2016;1;17;19;0;1,8;14;125
2016;1;17;20;0;1,8;14;122
2016;1;17;21;0;1,7;14;126
2016;1;17;22;0;1,7;14;131
2016;1;17;23;0;1,6;14;134
2016;1;18;0;0;1,5;14;131
2016;1;18;1;0;1,4;14;137
2016;1;18;2;0;1,4;14;139
2016;1;18;3;0;1,4;14;140
2016;1;18;4;0;1,3;14;140
2016;1;18;5;0;1,3;14;146
2016;1;18;6;0;1,3;14;154
2016;1;18;7;0;1,2;14;155
2016;1;18;8;0;1,2;14;158
2016;1;18;9;0;1,2;14;164
2016;1;18;10;0;1,1;13;168
2016;1;18;11;0;1,1;13;171
2016;1;18;12;0;1,0;13;183
2016;1;18;13;0;1,0;13;182
2016;1;18;14;0;1,0;13;183
2016;1;18;15;0;1,0;13;186
2016;1;18;16;0;0,9;13;168
2016;1;18;17;0;0,9;13;164
2016;1;18;18;0;0,9;13;185
2016;1;18;19;0;1,0;13;185
2016;1;18;20;0;1,0;13;177
2016;1;18;21;0;1,0;12;177
2016;1;18;22;0;1,1;12;172
2016;1;18;23;0;1,2;12;174
2016;1;19;0;0;1,3;12;170
2016;1;19;1;0;1,4;12;175
2016;1;19;2;0;1,5;12;171
2016;1;19;3;0;1,6;12;161
2016;1;19;4;0;1,6;12;167
2016;1;19;5;0;1,6;12;178
2016;1;19;6;0;1,7;12;164
2016;1;19;7;0;1,7;12;158
2016;1;19;8;0;1,7;12;156
2016;1;19;9;0;1,8;12;162
2016;1;19;10;0;1,8;12;165
2016;1;19;11;0;1,8;12;161
2016;1;19;12;0;1,8;12;158
2016;1;19;13;0;1,8;12;161
2016;1;19;14;0;1,7;12;155
2016;1;19;15;0;1,7;12;153
2016;1;19;16;0;1,7;12;170
2016;1;19;17;0;1,7;12;185
2016;1;19;18;0;1,6;12;160
2016;1;19;19;0;1,6;12;149
2016;1;19;20;0;1,5;11;152
2016;1;19;21;0;1,5;11;159
2016;1;19;22;0;1,5;11;163
2016;1;19;23;0;1,4;11;168
2016;1;20;0;0;1,3;11;160
2016;1;20;1;0;1,3;11;163
2016;1;20;2;0;1,2;11;165
2016;1;20;3;0;1,2;11;157
2016;1;20;4;0;1,1;11;155
2016;1;20;5;0;1,1;11;151
2016;1;20;6;0;1,1;11;148
2016;1;20;7;0;1,1;12;149
2016;1;20;8;0;1,1;12;153
2016;1;20;9;0;1,0;12;150
2016;1;20;10;0;1,1;12;144
2016;1;20;11;0;1,1;12;145
2016;1;20;12;0;1,1;16;148
2016;1;20;13;0;1,2;16;148
2016;1;20;14;0;1,3;16;149
2016;1;20;15;0;1,4;15;146
2016;1;20;16;0;1,5;15;137
2016;1;20;17;0;1,7;15;136
2016;1;20;18;0;1,8;15;131
2016;1;20;19;0;1,8;15;134
2016;1;20;20;0;1,9;14;135
2016;1;20;21;0;1,9;14;136
2016;1;20;22;0;2,0;14;135
2016;1;20;23;0;2,0;14;136
2016;1;21;0;0;2,0;14;135
2016;1;21;1;0;2,0;14;133
2016;1;21;2;0;2,0;14;129
2016;1;21;3;0;2,0;14;138
2016;1;21;4;0;2,0;13;144
2016;1;21;5;0;2,0;13;143
2016;1;21;6;0;2,0;13;149
2016;1;21;7;0;1,9;13;150
2016;1;21;8;0;1,9;13;146
2016;1;21;9;0;1,9;13;146
2016;1;21;10;0;1,9;13;154
2016;1;21;11;0;1,8;13;149
2016;1;21;12;0;1,7;13;150
2016;1;21;13;0;1,6;13;148
2016;1;21;14;0;1,5;12;145
2016;1;21;15;0;1,4;12;150
2016;1;21;16;0;1,4;12;153
2016;1;21;17;0;1,4;12;150
2016;1;21;18;0;1,5;12;154
2016;1;21;19;0;1,5;12;155
2016;1;21;20;0;1,5;12;157
2016;1;21;21;0;1,6;12;160
2016;1;21;22;0;1,6;12;153
2016;1;21;23;0;1,7;12;152
2016;1;22;0;0;1,7;12;152
2016;1;22;1;0;1,8;12;155
2016;1;22;2;0;1,8;12;169
2016;1;22;3;0;1,7;12;165
2016;1;22;4;0;1,7;12;172
2016;1;22;5;0;1,7;12;186
2016;1;22;6;0;1,7;12;206
2016;1;22;7;0;1,8;12;214
2016;1;22;8;0;1,9;12;214
2016;1;22;9;0;2,0;11;209
2016;1;22;10;0;2,1;11;209
2016;1;22;11;0;2,3;11;211
2016;1;22;12;0;2,5;11;211
2016;1;22;13;0;2,7;11;218
2016;1;22;14;0;3,1;11;223
2016;1;22;15;0;3,4;11;225
2016;1;22;16;0;3,9;12;230
2016;1;22;17;0;4,2;12;232
2016;1;22;18;0;4,5;13;231
2016;1;22;19;0;4,7;13;230
2016;1;22;20;0;4,9;14;234
2016;1;22;21;0;5,0;14;242
2016;1;22;22;0;5,0;14;240
2016;1;22;23;0;4,9;14;237
2016;1;23;0;0;4,7;15;234
2016;1;23;1;0;4,5;15;226
2016;1;23;2;0;4,3;15;219
2016;1;23;3;0;4,1;15;215
2016;1;23;4;0;3,9;15;203
2016;1;23;5;0;3,7;14;197
2016;1;23;6;0;3,6;14;205
2016;1;23;7;0;3,6;14;209
2016;1;23;8;0;3,5;14;205
2016;1;23;9;0;3,4;14;199
2016;1;23;10;0;3,3;14;190
2016;1;23;11;0;3,2;14;187
2016;1;23;12;0;3,1;14;184
2016;1;23;13;0;3,0;14;181
2016;1;23;14;0;2,9;14;176
2016;1;23;15;0;2,9;14;168
2016;1;23;16;0;2,8;14;157
2016;1;23;17;0;2,8;14;142
2016;1;23;18;0;2,7;14;120
2016;1;23;19;0;2,8;14;139
2016;1;23;20;0;2,7;14;172
2016;1;23;21;0;2,7;14;200
2016;1;23;22;0;2,6;14;204
2016;1;23;23;0;2,7;14;205
2016;1;24;0;0;2,7;14;189
2016;1;24;1;0;2,7;14;179
2016;1;24;2;0;2,7;14;171
2016;1;24;3;0;2,7;14;163
2016;1;24;4;0;2,7;14;172
2016;1;24;5;0;2,7;14;197
2016;1;24;6;0;2,7;14;207
2016;1;24;7;0;2,8;14;207
2016;1;24;8;0;2,8;14;207
2016;1;24;9;0;2,8;14;205
2016;1;24;10;0;2,8;14;202
2016;1;24;11;0;2,8;14;204
2016;1;24;12;0;2,7;14;197
2016;1;24;13;0;2,7;14;195
2016;1;24;14;0;2,6;14;184
2016;1;24;15;0;2,5;14;171
2016;1;24;16;0;2,5;14;174
2016;1;24;17;0;2,5;14;181
2016;1;24;18;0;2,4;14;176
2016;1;24;19;0;2,4;13;172
2016;1;24;20;0;2,4;13;174
2016;1;24;21;0;2,4;13;173
2016;1;24;22;0;2,4;13;174
2016;1;24;23;0;2,4;13;168
2016;1;25;0;0;2,3;13;162
2016;1;25;1;0;2,3;13;163
2016;1;25;2;0;2,3;13;167
2016;1;25;3;0;2,4;13;167
2016;1;25;4;0;2,4;13;167
2016;1;25;5;0;2,5;13;170
2016;1;25;6;0;2,6;14;178
2016;1;25;7;0;2,6;14;183
2016;1;25;8;0;2,6;14;185
2016;1;25;9;0;2,6;14;184
2016;1;25;10;0;2,6;14;191
2016;1;25;11;0;2,7;14;280
2016;1;25;12;0;2,7;14;292
2016;1;25;13;0;2,7;14;280
2016;1;25;14;0;2,8;13;272
2016;1;25;15;0;3,0;13;265
2016;1;25;16;0;3,0;13;251
2016;1;25;17;0;3,0;13;239
2016;1;25;18;0;2,9;13;227
2016;1;25;19;0;2,9;13;219
2016;1;25;20;0;2,9;13;219
2016;1;25;21;0;3,0;12;227
2016;1;25;22;0;2,9;12;217
2016;1;25;23;0;2,8;12;197
2016;1;26;0;0;2,7;12;173
2016;1;26;1;0;2,7;12;170
2016;1;26;2;0;2,7;12;167
2016;1;26;3;0;2,7;12;166
2016;1;26;4;0;2,7;12;170
2016;1;26;5;0;2,8;13;173
2016;1;26;6;0;3,0;14;182
2016;1;26;7;0;3,2;14;197
2016;1;26;8;0;3,5;13;210
2016;1;26;9;0;3,8;14;213
2016;1;26;10;0;3,9;14;218
2016;1;26;11;0;4,0;14;221
2016;1;26;12;0;4,2;14;224
2016;1;26;13;0;4,2;14;222
2016;1;26;14;0;4,2;14;241
2016;1;26;15;0;4,1;14;267
2016;1;26;16;0;3,9;14;285
2016;1;26;17;0;3,8;14;290
2016;1;26;18;0;3,8;14;289
2016;1;26;19;0;3,7;14;291
2016;1;26;20;0;3,5;14;292
2016;1;26;21;0;3,4;14;285
2016;1;26;22;0;3,3;14;265
2016;1;26;23;0;3,2;14;217
2016;1;27;0;0;3,2;14;167
2016;1;27;1;0;3,2;14;182
2016;1;27;2;0;3,1;13;191
2016;1;27;3;0;3,1;13;169
2016;1;27;4;0;3,1;13;135
2016;1;27;5;0;3,1;13;21
2016;1;27;6;0;3,0;13;9
2016;1;27;7;0;3,0;13;351
2016;1;27;8;0;3,0;13;322
2016;1;27;9;0;2,9;13;293
2016;1;27;10;0;2,9;13;271
2016;1;27;11;0;2,9;13;273
2016;1;27;12;0;3,0;13;268
2016;1;27;13;0;3,3;13;306
2016;1;27;14;0;3,7;13;298
2016;1;27;15;0;3,9;13;286
2016;1;27;16;0;4,1;13;284
2016;1;27;17;0;4,1;13;276
2016;1;27;18;0;4,0;13;270
2016;1;27;19;0;3,9;13;259
2016;1;27;20;0;3,9;13;256
2016;1;27;21;0;4,0;12;260
2016;1;27;22;0;4,0;12;261
2016;1;27;23;0;4,1;12;258
2016;1;28;0;0;4,1;12;247
2016;1;28;1;0;4,2;12;245
2016;1;28;2;0;4,3;13;244
2016;1;28;3;0;4,5;13;249
2016;1;28;4;0;4,7;14;243
2016;1;28;5;0;4,9;16;240
2016;1;28;6;0;5,0;16;234
2016;1;28;7;0;5,1;16;226
2016;1;28;8;0;5,2;16;224
2016;1;28;9;0;5,3;16;221
2016;1;28;10;0;5,3;16;216
2016;1;28;11;0;5,3;16;211
2016;1;28;12;0;5,2;16;196
2016;1;28;13;0;5,1;16;198
2016;1;28;14;0;5,1;16;227
2016;1;28;15;0;5,3;16;251
2016;1;28;16;0;5,5;15;249
2016;1;28;17;0;5,4;15;245
2016;1;28;18;0;5,3;15;243
2016;1;28;19;0;5,2;15;234
2016;1;28;20;0;5,1;15;224
2016;1;28;21;0;4,9;15;206
2016;1;28;22;0;4,9;15;226
2016;1;28;23;0;5,0;15;229
2016;1;29;0;0;5,1;14;228
2016;1;29;1;0;5,2;14;223
2016;1;29;2;0;5,2;14;218
2016;1;29;3;0;5,2;14;212
2016;1;29;4;0;5,2;14;210
2016;1;29;5;0;6,3;14;233
2016;1;29;6;0;7,8;14;259
2016;1;29;7;0;8,2;14;267
2016;1;29;8;0;8,3;14;267
2016;1;29;9;0;8,3;14;263
2016;1;29;10;0;8,1;15;262
2016;1;29;11;0;7,8;15;257
2016;1;29;12;0;7,4;15;255
2016;1;29;13;0;6,9;15;248
2016;1;29;14;0;6,5;15;243
2016;1;29;15;0;6,2;15;239
2016;1;29;16;0;6,0;15;235
2016;1;29;17;0;5,8;15;230
2016;1;29;18;0;5,9;15;236
2016;1;29;19;0;6,2;15;268
2016;1;29;20;0;6,5;15;271
2016;1;29;21;0;6,8;14;266
2016;1;29;22;0;6,8;14;264
2016;1;29;23;0;6,6;15;248
2016;1;30;0;0;6,8;15;243
2016;1;30;1;0;7,2;15;285
2016;1;30;2;0;7,3;15;273
2016;1;30;3;0;7,4;15;263
2016;1;30;4;0;7,5;15;267
2016;1;30;5;0;7,6;15;267
2016;1;30;6;0;7,7;15;270
2016;1;30;7;0;7,9;15;271
2016;1;30;8;0;8,1;15;271
2016;1;30;9;0;8,2;15;273
2016;1;30;10;0;8,4;15;275
2016;1;30;11;0;8,6;15;274
2016;1;30;12;0;8,7;15;280
2016;1;30;13;0;8,7;15;280
2016;1;30;14;0;8,6;15;278
2016;1;30;15;0;8,4;15;279
2016;1;30;16;0;8,1;15;281
2016;1;30;17;0;7,7;15;280
2016;1;30;18;0;7,2;15;281
2016;1;30;19;0;6,8;15;277
2016;1;30;20;0;6,4;15;270
2016;1;30;21;0;6,0;15;267
2016;1;30;22;0;5,7;15;259
2016;1;30;23;0;5,3;14;251
2016;1;31;0;0;5,1;14;252
2016;1;31;1;0;4,8;14;251
2016;1;31;2;0;4,6;14;246
2016;1;31;3;0;4,4;14;243
2016;1;31;4;0;4,2;14;241
2016;1;31;5;0;4,1;14;237
2016;1;31;6;0;3,9;14;206
2016;1;31;7;0;3,8;14;177
2016;1;31;8;0;3,7;14;175
2016;1;31;9;0;3,6;14;170
2016;1;31;10;0;3,5;14;175
2016;1;31;11;0;3,4;14;172
2016;1;31;12;0;3,3;13;189
2016;1;31;13;0;3,2;13;159
